at_junction,distance_to_junction,has_detected
True,0,0
False,7.277204990386963,0
False,6.418461799621582,0
True,4.985311985015869,0
True,4.330463409423828,0
True,3.8278770446777344,0
True,3.5429482460021973,0
True,3.552891254425049,1
True,4.035626411437988,1
True,4.8798627853393555,0
True,5.924248218536377,0
True,7.069537162780762,0
True,8.26117992401123,0
True,9.468121528625488,1
True,10.670984268188477,0
True,11.856630325317383,0
True,13.015212059020996,0
True,14.069097518920898,1
True,15.060083389282227,1
True,16.046384811401367,1
True,17.02748680114746,1
True,18.002904891967773,1
True,18.972190856933594,1
False,9.095780372619629,0
False,10.026237487792969,0
False,10.96895980834961,0
False,11.921042442321777,0
False,12.880401611328125,0
False,13.845540046691895,0
False,14.8153076171875,0
False,15.788884162902832,0
False,16.765592575073242,0
False,17.744911193847656,0
False,18.7264461517334,0
False,19.7098445892334,0
False,20.69485855102539,0
False,21.68126106262207,0
False,22.668867111206055,0
False,23.657514572143555,1
False,24.647106170654297,1
False,25.63750648498535,0
False,26.628644943237305,0
False,27.62042808532715,1
False,28.6127986907959,1
False,29.605693817138672,1
False,30.599063873291016,1
False,31.592853546142578,1
False,32.5870246887207,1
False,33.581565856933594,1
False,34.57642364501953,1
False,35.57158660888672,0
False,36.56702423095703,0
False,37.56270217895508,0
False,38.55862045288086,0
False,39.554752349853516,0
False,40.55107879638672,0
False,41.54758071899414,0
False,42.54426574707031,0
False,43.54110336303711,0
False,44.5380973815918,0
False,45.535221099853516,0
False,46.53245544433594,0
False,47.52978515625,0
False,48.52720642089844,0
False,49.524715423583984,0
False,50.522300720214844,0
False,51.51994323730469,0
False,52.517669677734375,0
False,53.515445709228516,0
False,54.5132942199707,0
False,56.50914001464844,0
False,58.505184173583984,0
False,59.503273010253906,0
False,60.50141525268555,0
False,61.49958801269531,0
False,62.497806549072266,0
False,63.496055603027344,0
False,64.49435424804688,0
False,65.49267578125,0
False,66.49105072021484,0
False,67.48944854736328,0
False,68.48788452148438,0
False,69.48635864257812,0
False,70.48486328125,0
False,71.48340606689453,0
False,72.48197937011719,0
False,73.4805908203125,0
False,74.47924041748047,0
False,75.47792053222656,0
False,76.47665405273438,0
False,77.47542572021484,0
False,78.47423553466797,0
False,79.47309875488281,0
False,80.47200012207031,0
False,81.47093200683594,0
False,82.46990966796875,0
False,83.46893310546875,0
False,84.46798706054688,0
False,85.46705627441406,0
False,86.4661636352539,0
False,87.4653091430664,0
False,88.4644775390625,0
False,89.46366119384766,0
False,90.46287536621094,0
False,91.46212005615234,0
False,92.46138000488281,0
False,7.277204990386963,0
False,6.418461799621582,0
True,4.985311985015869,0
True,4.330463409423828,0
True,3.8278770446777344,0
True,3.5429482460021973,0
True,3.5288426876068115,0
True,3.7885921001434326,0
True,4.890415668487549,0
True,6.395325660705566,0
True,8.08182144165039,0
True,9.856648445129395,1
True,11.723855018615723,0
True,12.690861701965332,0
True,13.668083190917969,1
True,14.653417587280273,0
True,15.645220756530762,0
True,16.642242431640625,1
False,9.095780372619629,0
False,10.026237487792969,0
False,10.96895980834961,0
False,11.921042442321777,0
False,12.880401611328125,0
False,13.845540046691895,0
False,14.8153076171875,0
False,15.788884162902832,0
False,16.765592575073242,0
False,17.744911193847656,0
False,18.7264461517334,0
False,19.7098445892334,0
False,20.69485855102539,1
False,21.68126106262207,1
False,22.668867111206055,1
False,23.657514572143555,0
False,24.647106170654297,0
False,25.63750648498535,0
False,26.628644943237305,0
False,27.62042808532715,0
False,28.6127986907959,1
False,29.605693817138672,1
False,30.599063873291016,1
False,31.592853546142578,1
False,32.5870246887207,1
False,33.581565856933594,1
False,34.57642364501953,0
False,35.57158660888672,0
False,36.56702423095703,0
False,37.56270217895508,0
False,38.55862045288086,0
False,39.554752349853516,0
False,40.55107879638672,0
False,41.54758071899414,0
False,42.54426574707031,0
False,43.54110336303711,0
False,44.5380973815918,0
False,45.535221099853516,0
False,46.53245544433594,0
False,47.52978515625,0
False,48.52720642089844,0
False,49.524715423583984,0
False,50.522300720214844,0
False,51.51994323730469,0
False,52.517669677734375,0
False,53.515445709228516,0
False,54.5132942199707,0
False,56.50914001464844,0
False,58.505184173583984,0
False,59.503273010253906,0
False,60.50141525268555,0
False,61.49958801269531,0
False,62.497806549072266,0
False,63.496055603027344,0
False,64.49435424804688,0
False,65.49267578125,0
False,66.49105072021484,0
False,67.48944854736328,0
